Maruzaba           | score=1.0592
Korosaka           | score=1.0588
Mishigara          | score=1.0343
Alphuoden          | score=0.8921
Yorihata           | score=0.9992
Marukowa           | score=1.0481
Liannash           | score=0.9330
Terakura           | score=1.0586
Nwmentith          | score=0.7401
Shiraishida        | score=0.9793
Otozashi           | score=1.0257
Torighiri          | score=1.0349
Tiashira           | score=0.9918
Shikimiko          | score=1.0346
Kiyomiya           | score=0.8455
Nottsuse           | score=0.8893
Korizaba           | score=1.0593
Kuratanishi        | score=1.0455
Albelgandy         | score=0.9488
Zaelisza           | score=0.9933
Marshira           | score=0.8885
Amalberger         | score=0.9817
Tamaruhi           | score=1.0589
Chaarlay           | score=0.9274
Natsushida         | score=0.9807
Natakami           | score=1.0585
İnatsuki           | score=1.0108
Nishlind           | score=0.8021
Cardotteis         | score=0.9487
Kanmarith          | score=0.9478
Tkakagawa          | score=1.0237
Sharatlia          | score=0.9687
Kanebaki           | score=1.0592
Machitori          | score=1.0345
Fujinagi           | score=1.0589
Shirayumi          | score=0.9682
Teurocosela        | score=1.0465
Kirakami           | score=1.0587
Daretsiry          | score=1.0351
Shideraki          | score=1.0348
Thessira           | score=0.9663
Kirisuka           | score=1.0589
Makikayo           | score=0.9660
Chikuragi          | score=1.0344
Canponanna         | score=0.9816
Minarith           | score=0.9990
Kokugami           | score=1.0592
Kuimotsuchi        | score=0.9801
Miyamama           | score=0.9651
Pacfilla           | score=0.9663
Beagento           | score=0.9933
Horikami           | score=1.0588
Bengitaka          | score=1.0348
