Paise              | score=0.9637
Disisa             | score=1.0220
Kabatsu            | score=1.0068
Kojimaw            | score=1.0294
Ctraros            | score=0.8436
Marusa             | score=1.0216
Brusta             | score=0.9290
Dasel              | score=0.9967
Hill               | score=0.9113
İzuno              | score=0.9889
Tazamig            | score=1.0406
Ninyu              | score=0.9637
Azura              | score=0.9967
Nayami             | score=0.9287
Shanda             | score=0.9287
Elgando            | score=0.9747
Kdundra            | score=0.7554
Ster               | score=0.9108
Riskats            | score=0.9206
Bellia             | score=0.9556
Romishi            | score=1.0068
Tsukuro            | score=1.0067
Faminih            | score=1.0405
İjumi              | score=0.9890
Setsuu             | score=0.9557
Mashiyu            | score=0.9407
Alagmin            | score=1.0077
Setsuha            | score=1.0074
Cata               | score=0.9714
Berigur            | score=1.0406
Muroru             | score=1.0219
Aille              | score=0.9306
Mishimo            | score=1.0062
Tasuhaz            | score=1.0407
Tsumana            | score=1.0072
Tomaki             | score=1.0215
Syll               | score=0.9114
Vacmerl            | score=0.9207
Kirase             | score=1.0218
Moi                | score=0.9131
Himoshi            | score=1.0070
İra                | score=0.9384
Aorisei            | score=0.9205
Aparah             | score=1.0219
Lefiisy            | score=1.0077
Fuzuro             | score=1.0219
Shina              | score=0.9620
Reimiko            | score=1.0074
Tatsuka            | score=1.0059
Alera              | score=0.9967
Katasak            | score=1.0403
Takate             | score=1.0214
İnekawa            | score=1.0149
Cereph             | score=0.9620
Mecharr            | score=0.9206
Kougaru            | score=1.0076
Malmia             | score=0.9560
Shikuru            | score=1.0072
Cehlune            | score=1.0077
Gsin               | score=0.9114
Zella              | score=0.9633
Shikogi            | score=1.0074
Kuura              | score=0.9637
Shinami            | score=1.0064
Lelilie            | score=1.0075
Maetera            | score=1.0076
Santer             | score=0.9619
Galinia            | score=1.0076
Makikue            | score=1.0072
Bachin             | score=0.9613
Chalina            | score=1.0075
Vella              | score=0.9633
Mehina             | score=1.0216
Miruya             | score=0.9289
Maruko             | score=1.0216
Shiyou             | score=0.8628
Tsujama            | score=1.0077
Najine             | score=1.0220
Tokayak            | score=0.9744
Surusak            | score=1.0405
Meliine            | score=1.0076
Komija             | score=1.0218
Ozana              | score=0.9966
Mylegta            | score=1.0077
Takaki             | score=1.0214
Voudt              | score=0.9307
Eadensh            | score=0.8647
Naoyas             | score=0.8960
Omazuya            | score=0.9207
Miruzur            | score=1.0406
Suzuzur            | score=1.0403
Ruki               | score=0.9713
Kamaza             | score=1.0217
Sario              | score=0.9635
Salava             | score=1.0220
Rotmipc            | score=0.9207
Tondosh            | score=0.9207
Flubryn            | score=0.9207
Makizak            | score=1.0402
Kikumi             | score=1.0218
Hathan             | score=0.9619
Layriny            | score=1.0077
Lelissa            | score=1.0075
Tatsue             | score=0.9546
Arumume            | score=1.0406
Valix              | score=0.9857
İni                | score=0.9384
Achara             | score=0.9881
Shihae             | score=0.9559
Ani                | score=0.9461
Myuurik            | score=0.9746
Shanjou            | score=0.9414
Tazuke             | score=1.0219
Ma                 | score=0.9208
Yo                 | score=0.8608
Onimi              | score=0.9967
Dering             | score=0.9618
Sellis             | score=0.9618
Tomira             | score=1.0217
Miyami             | score=0.9277
Sharyun            | score=0.9746
Litly              | score=0.9637
Balithe            | score=1.0074
Winonce            | score=0.9967
Nekiel             | score=0.9890
Nakagac            | score=1.0401
Haoumi             | score=0.9290
Regery             | score=1.0220
Homo               | score=0.9714
Natashi            | score=1.0067
Mvonriy            | score=0.9417
Sharaug            | score=0.9741
Notsugi            | score=1.0074
Akanyak            | score=1.0075
Myi                | score=0.9131
Oonayor            | score=0.8876
Totomir            | score=1.0405
Minama             | score=1.0214
Aabae              | score=0.8767
Fumara             | score=1.0218
Gurguel            | score=0.9747
Kotaya             | score=0.9289
Coldra             | score=0.8520
Mikikak            | score=1.0405
Sylesti            | score=1.0075
Elny               | score=0.9384
Minaha             | score=1.0216
Zarus              | score=0.9966
Barber             | score=0.9619
Astelli            | score=0.9744
Brand              | score=0.8764
Arutsuk            | score=1.0069
Lamider            | score=1.0406
İniera             | score=0.9477
Touzami            | score=1.0077
Kanaki             | score=1.0214
Akazami            | score=1.0404
İomaru             | score=1.0135
Ganis              | score=0.9966
Sazahar            | score=1.0406
Momuri             | score=1.0219
Sanne              | score=0.9635
Xeyu               | score=0.8674
One                | score=0.9461
Schiko             | score=0.8515
Rinkyas            | score=0.9747
Konoko             | score=1.0217
Yrala              | score=0.9967
Yugiko             | score=0.9620
Sylge              | score=0.9637
Makaiko            | score=1.0075
Vaskon             | score=0.9620
Sashiza            | score=1.0065
Daro               | score=0.9714
Tamisa             | score=1.0217
Sukeyum            | score=0.9747
Hiouki             | score=0.9290
Rine               | score=0.9711
Almosta            | score=0.9747
Vinla              | score=0.9637
Shira              | score=0.9615
Kimiyam            | score=0.9736
Mitoko             | score=1.0218
Cailia             | score=0.9288
Pualen             | score=0.9889
Morisaw            | score=1.0290
Milla              | score=0.9633
Handin             | score=0.9618
Mizusak            | score=1.0403
Tomisa             | score=1.0216
Sakafuk            | score=1.0402
Cantert            | score=0.9207
Makira             | score=1.0215
Nabe               | score=0.9712
Hirakaw            | score=1.0290
Mizuri             | score=1.0215
Geles              | score=0.9965
Soruna             | score=1.0219
Mistal             | score=0.9619
Colo               | score=0.9714
Mihama             | score=1.0218
Misat              | score=0.9963
Yanami             | score=0.9612
Sugibay            | score=1.0076
Tamaru             | score=1.0213
Famira             | score=1.0218
Misana             | score=1.0215
Waunna             | score=0.9450
Yumiki             | score=0.9616
Makika             | score=1.0215
Katsuik            | score=0.9736
Mirisse            | score=1.0074
Kojada             | score=1.0220
Seran              | score=0.9965
Karubus            | score=1.0406
Siualle            | score=0.9417
Biriel             | score=0.9881
Chidemi            | score=1.0075
Jumji              | score=0.9637
Us                 | score=0.9208
Menwadu            | score=0.9967
Adana              | score=0.9966
Sorl               | score=0.9114
Namida             | score=1.0215
Maselia            | score=1.0075
Hobalia            | score=1.0076
Kacura             | score=1.0220
Mieline            | score=1.0075
Niseita            | score=1.0077
Kamara             | score=1.0215
Serady             | score=1.0219
Koohawa            | score=0.9967
Mantsum            | score=0.8434
Tatoki             | score=1.0219
Gahrang            | score=0.9207
Minesta            | score=1.0075
Tagiya             | score=0.9289
Beshika            | score=1.0071
Obasha             | score=0.9889
Kumuror            | score=1.0406
Haidaka            | score=1.0076
Sunayam            | score=0.9744
Zama               | score=0.9713
Kalin              | score=0.9965
Caria              | score=0.9630
Tolina             | score=1.0218
Yakagi             | score=0.9617
Mendo              | score=0.9635
Spelth             | score=0.7650
Hebuya             | score=0.9290
Tibiva             | score=1.0220
Nokawa             | score=1.0101
Kuearo             | score=0.9290
Tanari             | score=1.0217
Liang              | score=0.9304
Kozui              | score=0.9637
İsakuri            | score=1.0258
Garot              | score=0.9967
Amthius            | score=0.8647
Terleth            | score=0.9206
Sugura             | score=1.0218
Renc               | score=0.9113
Mihara             | score=1.0208
Mekimoc            | score=1.0406
Milia              | score=0.9634
Mouo               | score=0.8784
Ralyle             | score=1.0220
Muru               | score=0.9714
Lilera             | score=1.0220
Flaundo            | score=0.9417
Lelira             | score=1.0219
İvinda             | score=0.9747
Mienfet            | score=0.9747
Belonya            | score=1.0077
Yrizai             | score=0.9620
Lihia              | score=0.9637
İga                | score=0.9384
Managak            | score=1.0403
Girine             | score=1.0217
Lille              | score=0.9635
Taninya            | score=1.0074
Alischo            | score=0.8976
Miben              | score=0.9967
Sakakur            | score=1.0397
Hata               | score=0.9711
Ania               | score=0.9113
Selfia             | score=0.9560
Karizak            | score=1.0405
Kungoug            | score=0.9747
Kadamo             | score=1.0219
Yuushir            | score=0.9407
Alina              | score=0.9963
Manamon            | score=1.0403
Misamo             | score=1.0217
Aosa               | score=0.9114
Clytole            | score=1.0077
İnis               | score=0.9637
İrelika            | score=1.0264
Sayakay            | score=0.8874
İgus               | score=0.9637
Tagori             | score=1.0220
Amanoga            | score=1.0405
İnoka              | score=0.9889
Deanss             | score=0.8190
Miruka             | score=1.0217
Miyori             | score=0.9288
Takaman            | score=1.0398
Sakayak            | score=0.9740
Flinis             | score=0.9620
Sukumar            | score=1.0405
Chiri              | score=0.9634
Mabuto             | score=1.0219
Kinako             | score=1.0216
Urunia             | score=0.9620
Kimira             | score=1.0217
Garpsar            | score=0.8437
Evarita            | score=1.0405
Pamie              | score=0.9636
Frizes             | score=0.9620
Reybal             | score=0.9890
Tanans             | score=0.9618
İkinone            | score=1.0262
Mazukat            | score=1.0404
Anarass            | score=1.0074
Reiri              | score=0.9636
Alfa               | score=0.9384
Fuiko              | score=0.9637
Nalocha            | score=1.0076
Ryeisel            | score=0.9747
Zusis              | score=0.9967
Furame             | score=1.0218
Asamawa            | score=1.0295
Sonori             | score=1.0217
Samura             | score=1.0213
İsumi              | score=0.9886
Komaka             | score=1.0218
Kinerei            | score=1.0076
Yumia              | score=0.8764
Lyn                | score=0.9461
Gelyns             | score=0.9619
Tsumes             | score=0.9615
Takasak            | score=1.0398
Kitou              | score=0.9636
Sati               | score=0.9714
Shena              | score=0.9636
Berstel            | score=0.8436
Sazuri             | score=1.0219
Setsuis            | score=0.9744
Chidora            | score=1.0075
Seiris             | score=0.9886
Negch              | score=0.7997
Nakakur            | score=1.0398
Yukimam            | score=1.0074
Sanoshi            | score=1.0071
İsasawa            | score=1.0150
Hamina             | score=1.0215
Wash               | score=0.9002
Tatagan            | score=1.0406
Chaocun            | score=0.9747
Tsurama            | score=1.0074
Karubas            | score=1.0406
Higami             | score=1.0216
Muryo              | score=0.9637
Andaua             | score=0.8959
Uzuno              | score=0.9965
Makae              | score=0.9636
Ocumira            | score=1.0406
Tanoa              | score=0.9637
Ninoka             | score=1.0217
Hachimo            | score=1.0070
Sokaka             | score=1.0220
Lync               | score=0.9114
Shishik            | score=0.9195
Senowa             | score=1.0109
Yatanak            | score=1.0074
Nakae              | score=0.9628
Broidir            | score=0.9747
Kazuku             | score=1.0217
Vargeli            | score=1.0076
Hachiko            | score=1.0068
Ling               | score=0.9111
Arguka             | score=0.9890
Bellewi            | score=0.9962
Hoguru             | score=1.0219
Eveline            | score=1.0405
Kahashi            | score=1.0066
Sakiyan            | score=0.9742
Mazuma             | score=1.0219
Caleus             | score=0.9890
Kanoko             | score=1.0217
İsaki              | score=0.9885
Nadaki             | score=1.0219
Ariya              | score=0.8764
Neshrtt            | score=0.6357
Makariy            | score=1.0075
Kakosho            | score=1.0076
Shinama            | score=1.0067
Filea              | score=0.9637
Rinron             | score=0.9620
Zubika             | score=1.0220
Shiel              | score=0.9305
Nelidh             | score=0.9620
Grong              | score=0.8766
Hikagi             | score=1.0216
Tsunoka            | score=1.0073
Susenor            | score=1.0407
İturiga            | score=1.0263
Roba               | score=0.9713
Carder             | score=0.9619
Seyuu              | score=0.8437
Ashana             | score=0.9884
Sagans             | score=0.9619
Sildy              | score=0.9637
Kubuki             | score=1.0219
Tsumoto            | score=1.0070
Paly               | score=0.9714
Mabara             | score=1.0218
Kanamon            | score=1.0402
Karasus            | score=1.0405
Tarako             | score=1.0218
İzayai             | score=0.8277
Kinakin            | score=1.0404
Cylynia            | score=1.0077
Mimire             | score=1.0219
Sunayu             | score=0.9288
Kyishie            | score=0.9408
Hamaham            | score=1.0406
Soorina            | score=1.0075
Delucia            | score=1.0076
Shirori            | score=1.0066
Saukano            | score=1.0075
Shiraku            | score=1.0064
Gishots            | score=0.9207
Galiel             | score=0.9889
Sehachi            | score=1.0072
Apsumi             | score=0.9886
Yonehar            | score=1.0076
Sazuhar            | score=1.0406
Palyuba            | score=1.0077
Lenen              | score=0.9964
Takana             | score=1.0210
Shary              | score=0.9636
Koma               | score=0.9710
Sakue              | score=0.9633
Akushim            | score=1.0067
Kimyubu            | score=1.0077
Fumichi            | score=1.0072
Lmannon            | score=0.9206
Tpegel             | score=0.9620
Sabai              | score=0.9637
Haraguk            | score=1.0401
Murihai            | score=1.0076
Shimusa            | score=1.0071
Gariy              | score=0.9636
Shijigu            | score=1.0076
Akati              | score=0.9966
Linater            | score=1.0405
İwa                | score=0.9274
Mikaraw            | score=1.0293
Tsuta              | score=0.9637
Wadoska            | score=0.9967
Neme               | score=0.9714
Antalas            | score=1.0077
Kume               | score=0.9714
Chiroka            | score=1.0070
Mioko              | score=0.9636
Erengy             | score=0.9888
Kalisa             | score=1.0218
Cilcy              | score=0.9637
Tsukome            | score=1.0069
Mirora             | score=1.0220
Varulio            | score=1.0077
Soran              | score=0.9965
Vianna             | score=0.9556
Salita             | score=1.0218
Turaki             | score=1.0218
Fami               | score=0.9714
Ellandr            | score=0.7553
Kigiray            | score=1.0076
Koqoka             | score=1.0110
Quysca             | score=0.9450
Chigasa            | score=1.0074
Jakimah            | score=1.0406
Omoga              | score=0.9966
Kahia              | score=0.9637
Aunue              | score=0.8767
Karanom            | score=1.0405
Miriher            | score=1.0406
Furine             | score=1.0218
Bmalass            | score=0.9206
Chinas             | score=0.9614
Srira              | score=0.9637
Dato               | score=0.9714
Amin               | score=0.9710
Zirstor            | score=0.8437
Nazasak            | score=1.0404
İoume              | score=0.9350
Yatama             | score=0.9617
Hishika            | score=1.0063
Maeya              | score=0.8437
Pamidwa            | score=0.9967
Yuurie             | score=0.8419
Sazumi             | score=1.0218
İmibi              | score=0.9890
Kaithar            | score=0.9747
Tsugiry            | score=1.0075
Culiel             | score=0.9889
İrano              | score=0.9889
Bhariel            | score=0.9738
Blatia             | score=0.9560
Magure             | score=1.0218
Glande             | score=0.9288
Lahelic            | score=1.0406
Shibaro            | score=1.0074
Kinaga             | score=1.0216
Makuray            | score=1.0068
Astylin            | score=1.0077
Larene             | score=1.0218
Ranmo              | score=0.9637
Kalente            | score=1.0075
Kakaka             | score=1.0219
Tharuch            | score=0.9203
Rian               | score=0.9381
Nakus              | score=0.9966
Tsukiki            | score=1.0067
Feorie             | score=0.9289
Daranth            | score=0.8435
Mitho              | score=0.9637
Tori               | score=0.9706
Shiesak            | score=0.9746
Nochiri            | score=1.0075
Yumashi            | score=0.9737
Roka               | score=0.9712
Uohara             | score=0.9610
Misamis            | score=1.0404
Eriyats            | score=0.9416
Moli               | score=0.9714
Nakazuk            | score=1.0400
Shuata             | score=0.9560
Miranti            | score=1.0075
Amatsum            | score=1.0061
Balan              | score=0.9967
Haruhur            | score=1.0403
Terosr             | score=0.9620
Lun                | score=0.9461
Miuta              | score=0.9637
Doloia             | score=0.9290
Mirifus            | score=1.0406
Daira              | score=0.9636
China              | score=0.9629
Rote               | score=0.9714
Nadama             | score=1.0220
Kakiyas            | score=0.9745
Mins               | score=0.9114
Waapel             | score=0.9780
Korikaw            | score=1.0292
Teika              | score=0.9635
Diner              | score=0.9966
Urus               | score=0.9712
Shisabe            | score=1.0074
Geolie             | score=0.9290
Tanna              | score=0.9631
İmai               | score=0.9037
Edes               | score=0.9714
Hasi               | score=0.9714
Seray              | score=0.9635
Barilis            | score=1.0407
Nakagak            | score=1.0400
Okaga              | score=0.9965
Maruich            | score=0.9744
Kaizada            | score=1.0077
Yunig              | score=0.9637
Tayami             | score=0.9286
Nimahar            | score=1.0406
Makose             | score=1.0219
Riyya              | score=0.8437
Bradhat            | score=0.9207
Kiromi             | score=1.0219
Bean               | score=0.9384
Alepari            | score=1.0407
Marira             | score=1.0215
Harura             | score=1.0214
Akna               | score=0.9384
Adag               | score=0.9714
Binball            | score=0.9207
Bristor            | score=0.9205
Elara              | score=0.9962
Aenisan            | score=1.0075
Tangeri            | score=1.0075
Sawakur            | score=1.0290
Grindel            | score=0.9206
Karusak            | score=1.0405
Ainazak            | score=1.0075
Kamaki             | score=1.0212
Nolo               | score=0.9714
Yuaikam            | score=0.8876
Tomaha             | score=1.0220
Miris              | score=0.9962
Hadidi             | score=1.0220
Mirehi             | score=1.0220
Shiyo              | score=0.8974
Mikumit            | score=1.0405
Biamoli            | score=1.0077
Soroura            | score=1.0076
Erisa              | score=0.9962
Matsumi            | score=1.0060
Sttral             | score=0.7210
Konohi             | score=1.0218
Binnen             | score=0.9619
Agchito            | score=0.8976
İyabaha            | score=0.9724
Wadt               | score=0.9004
Suitsum            | score=0.9741
Akazach            | score=1.0075
Asushiz            | score=1.0071
Gordy              | score=0.9637
Leeria             | score=0.9288
Bhangi             | score=0.9289
Hidaraz            | score=1.0405
Altie              | score=0.9307
Saebyuk            | score=0.9747
Euhera             | score=0.9619
Daltebe            | score=1.0077
Sakinos            | score=1.0399
Noshyo             | score=0.9560
Lucika             | score=1.0219
Zuchiya            | score=0.9411
Lae                | score=0.9131
Machiyo            | score=0.9409
Kabumid            | score=1.0407
Kayashi            | score=0.9403
Nakamam            | score=1.0397
Sodos              | score=0.9967
Jopuo              | score=0.9637
Nyng               | score=0.9114
İgaraki            | score=1.0262
Kuishim            | score=0.9733
Koji               | score=0.9713
Ranmund            | score=0.9207
Wenono             | score=1.0109
Warara             | score=1.0107
Nalithr            | score=0.8434
Kaemi              | score=0.9637
Hibene             | score=1.0220
Himee              | score=0.9632
Minabi             | score=1.0216
Miriko             | score=1.0215
Fuwasak            | score=1.0294
Mitase             | score=1.0218
Sakuri             | score=1.0210
Yuuiko             | score=0.8420
Lycer              | score=0.9967
Fujisy             | score=1.0216
Janda              | score=0.9635
Notko              | score=0.9637
Uyotsos            | score=0.9416
Yana               | score=0.9109
İkama              | score=0.9888
Sadai              | score=0.9635
Makika             | score=1.0215
Nurose             | score=1.0218
Evistvy            | score=0.8977
Cuter              | score=0.9967
Ravicos            | score=1.0407
Shokaru            | score=1.0075
Michr              | score=0.7995
Cant               | score=0.9114
Waibel             | score=0.9780
Hikaka             | score=1.0216
Rioko              | score=0.9637
Dauria             | score=0.9289
Suigami            | score=1.0075
Shimo              | score=0.9624
Eiza               | score=0.9114
Gir                | score=0.9461
Fujishi            | score=1.0066
Shoucih            | score=0.9746
Baben              | score=0.9967
Akare              | score=0.9966
Jushie             | score=0.9555
Wacina             | score=1.0110
Karuhar            | score=1.0405
Matsubi            | score=1.0064
Konohe             | score=1.0218
Sotya              | score=0.9637
Sahiras            | score=1.0402
Nizusaw            | score=1.0296
Hibama             | score=1.0218
Oouka              | score=0.8764
İsatane            | score=1.0263
İxe                | score=0.9274
Kijibat            | score=1.0406
Meejina            | score=1.0077
Nez                | score=0.9461
Maudico            | score=1.0077
Maing              | score=0.9306
Kurora             | score=1.0216
Shibami            | score=1.0074
Camus              | score=0.9967
Odaka              | score=0.9967
Banni              | score=0.9636
Harure             | score=1.0214
Hatamio            | score=1.0075
Soeko              | score=0.9637
Jishasa            | score=1.0076
Saben              | score=0.9966
Orter              | score=0.9636
Aibaris            | score=1.0073
İtyusu             | score=0.9477
Amshi              | score=0.8537
Liva               | score=0.9714
Bronwyn            | score=0.9096
Wabes              | score=0.9856
Gwentin            | score=0.9096
Fla                | score=0.9131
Assatpe            | score=0.9746
Albelon            | score=1.0076
Honkawa            | score=0.9961
Paleira            | score=1.0076
Chikami            | score=1.0068
Nirielg            | score=0.9740
Eko                | score=0.9461
Nagiis             | score=0.9887
Euhou              | score=0.8767
Mlerela            | score=1.0077
Matie              | score=0.9637
Satano             | score=1.0219
Hisami             | score=1.0217
Kawashi            | score=0.9951
Ziista             | score=0.9559
İtsuka             | score=0.9739
Bagetsi            | score=1.0077
Riha               | score=0.9712
Shinata            | score=1.0068
Shira              | score=0.9615
Shishir            | score=0.9191
Onja               | score=0.9384
Belesta            | score=1.0075
Suki               | score=0.9701
Akiya              | score=0.8766
Oon                | score=0.9131
Bessu              | score=0.9637
Sibbit             | score=0.9620
Belph              | score=0.7996
Alix               | score=0.9604
Hemi               | score=0.9713
Eila               | score=0.9113
Lauya              | score=0.8437
Nou                | score=0.9131
Kad                | score=0.9461
Rocille            | score=1.0076
Mou                | score=0.9131
Langori            | score=1.0077
Suriyak            | score=0.9745
Ninpans            | score=0.9207
Arpennt            | score=0.8107
Giiri              | score=0.9637
Furami             | score=1.0218
Forgy              | score=0.9637
Meizaku            | score=1.0076
Brladi             | score=0.8520
Hizuno             | score=1.0216
Otoro              | score=0.9966
Hironom            | score=1.0401
Nyea               | score=0.8784
Bonnach            | score=0.9206
Gantiea            | score=0.9417
Stithea            | score=0.9416
Proseli            | score=1.0075
Moto               | score=0.9700
Talky              | score=0.9637
Venthri            | score=0.7667
Vacciel            | score=0.9747
Nagadi             | score=1.0218
İsaiko             | score=0.9476
Theth              | score=0.8767
Blow               | score=0.9004
Numiho             | score=1.0219
Rach               | score=0.9111
Yugen              | score=0.9637
Oqu                | score=0.9351
Aurita             | score=0.9618
Erinia             | score=0.9619
Gyphid             | score=0.9620
Marica             | score=1.0214
Hityoko            | score=1.0076
Nanari             | score=1.0216
Shiroha            | score=1.0065
Fuyama             | score=0.9281
Siricht            | score=0.8436
Ster               | score=0.9108
Cenka              | score=0.9637
Horimi             | score=1.0218
Hooshi             | score=0.9552
Moyoth             | score=0.9230
Yorasa             | score=0.9619
Beinner            | score=0.9746
Kiphry             | score=0.8520
Moyaki             | score=0.9290
Enta               | score=0.9383
Nazumi             | score=1.0217
Yanamat            | score=1.0072
Nencora            | score=1.0077
Sakoshi            | score=1.0070
Akuri              | score=0.9957
Degtena            | score=1.0077
Tawa               | score=0.9604
Katayab            | score=0.9745
Breats             | score=0.8960
Ailwa              | score=0.9197
Shasatr            | score=0.9207
Honue              | score=0.9637
Amariel            | score=1.0064
Chikamo            | score=1.0071
Aman               | score=0.9710
Misami             | score=1.0217
Sakurut            | score=1.0400
Kayumi             | score=0.9287
Oriska             | score=0.9889
Raythi             | score=0.9560
Honoe              | score=0.9636
Nowachi            | score=0.9963
Caral              | score=0.9966
Caltro             | score=0.8520
Nonteri            | score=1.0077
Kasakay            | score=1.0068
Ainne              | score=0.9306
Sonbats            | score=0.9207
Kunwai             | score=0.9450
Dylne              | score=0.9637
Chitaro            | score=1.0074
Merwyn             | score=0.9509
Dersair            | score=0.9746
Hanune             | score=1.0220
Samaru             | score=1.0215
Misoret            | score=1.0406
Hotiko             | score=1.0220
Janree             | score=0.9560
Akirai             | score=0.9618
Pion               | score=0.9384
Kogomal            | score=1.0407
Golly              | score=0.9636
Kentoni            | score=1.0076
Majiric            | score=1.0406
Kanori             | score=1.0217
Kabani             | score=1.0220
Duminan            | score=1.0403
Narisia            | score=1.0074
Shiraok            | score=0.9736
Chichiz            | score=0.9204
Solia              | score=0.9636
Hibakar            | score=1.0405
Orkas              | score=0.9637
Hakizak            | score=1.0406
Shibara            | score=1.0072
Maroga             | score=1.0220
Oaori              | score=0.8766
İamira             | score=1.0136
Oojo               | score=0.9114
Yariko             | score=0.9617
Sanman             | score=0.9620
Eliloon            | score=1.0077
Shogara            | score=1.0076
Oohara             | score=0.9610
Urusis             | score=1.0219
Furumi             | score=1.0216
Setsu              | score=0.9632
İster              | score=0.9558
Licsa              | score=0.9637
Chibori            | score=1.0076
Karisuk            | score=1.0403
Desiell            | score=0.9746
Aorina             | score=0.9617
Najiri             | score=1.0219
Birod              | score=0.9967
Midery             | score=1.0219
Furadam            | score=1.0406
Sayh               | score=0.9384
Benthin            | score=0.8437
Akahara            | score=1.0399
İshinor            | score=0.9927
Arbkern            | score=0.8107
Hevindr            | score=0.7885
Wand               | score=0.9004
Tabogak            | score=1.0407
Tokito             | score=1.0219
Lim                | score=0.9461
Shizuro            | score=1.0073
Hoshwe             | score=0.8408
Karida             | score=1.0218
Woda               | score=0.9604
Kito               | score=0.9714
Delins             | score=0.9618
Merwas             | score=0.9510
Dakubaz            | score=1.0406
Ring               | score=0.9113
Ennk               | score=0.8014
Hashido            | score=1.0065
Komisat            | score=1.0404
Auria              | score=0.8766
Yeth               | score=0.9054
Cox                | score=0.9351
Calichy            | score=1.0076
Alktce             | score=0.7750
Shiimim            | score=0.9746
Hatsube            | score=1.0066
Nisaki             | score=1.0211
Hizuki             | score=1.0213
Bring              | score=0.8767
Flein              | score=0.9307
Momie              | score=0.9636
Liobabe            | score=1.0077
İogawa             | score=1.0024
Michi              | score=0.9629
Aster              | score=0.9632
Guliana            | score=1.0074
Jeing              | score=0.9307
Waylt              | score=0.9197
Heide              | score=0.9637
Rothia             | score=0.9559
Oritis             | score=1.0219
Shoukay            | score=0.9414
Wai                | score=0.9021
Lilvia             | score=0.9559
İmiyo              | score=0.8690
Chang              | score=0.8764
Togo               | score=0.9714
Rikishi            | score=1.0067
Aard               | score=0.9054
Takayas            | score=0.9740
Tougaya            | score=0.8875
Toune              | score=0.9637
Tsuhiko            | score=1.0075
Kanawa             | score=1.0107
Ailfet             | score=0.9560
Kerika             | score=1.0217
Sser               | score=0.9114
Tythiry            | score=1.0076
Modelit            | score=1.0406
Himai              | score=0.9628
Kinatsu            | score=1.0065
Yoben              | score=0.9637
Arlissa            | score=0.9745
Hangara            | score=1.0076
Alian              | score=0.9633
Kaza               | score=0.9708
Asmacot            | score=1.0077
Sabari             | score=1.0219
Mae                | score=0.9131
Hosanna            | score=1.0074
Moriko             | score=1.0211
Nister             | score=0.9617
Alla               | score=0.9383
Nomci              | score=0.9637
Fumpet             | score=0.9620
Anno               | score=0.9382
Sunatok            | score=1.0405
Gain               | score=0.9384
Kujizu             | score=1.0220
Jindra             | score=0.7964
Samari             | score=1.0212
Sanzaki            | score=1.0073
Calan              | score=0.9966
Shouva             | score=0.9559
Moni               | score=0.9714
Men                | score=0.9461
Maelan             | score=0.9888
Amachir            | score=1.0070
Sil                | score=0.9461
Ler                | score=0.9461
Uruna              | score=0.9965
Mizuyar            | score=0.9745
Mul                | score=0.9461
Nayos              | score=0.9305
Anba               | score=0.9382
Shitzur            | score=0.9206
Shiha              | score=0.9635
Morida             | score=1.0215
Celen              | score=0.9962
Kujigi             | score=1.0220
Yoriha             | score=0.9618
Hiijimi            | score=1.0076
Esrovie            | score=0.9747
Astel              | score=0.9633
Erbell             | score=0.9287
Miyama             | score=0.9269
Bernis             | score=0.9619
Hotu               | score=0.9714
Yniryue            | score=0.9206
Vacilla            | score=1.0076
Akitana            | score=1.0403
Moho               | score=0.9714
Gael               | score=0.9384
Shon               | score=0.9114
İllyn              | score=0.9560
Dadradm            | score=0.9207
Gubtel             | score=0.9620
Soto               | score=0.9714
Makakak            | score=1.0405
Mamimi             | score=1.0218
Zeber              | score=0.9967
Carlati            | score=1.0076
Makotos            | score=1.0405
Taname             | score=1.0217
İnama              | score=0.9890
Diban              | score=0.9966
Alonet             | score=1.0219
Eunperg            | score=0.9417
Karasak            | score=1.0401
Anry               | score=0.9384
Brri               | score=0.8014
Vilma              | score=0.9637
Airu               | score=0.9113
İkanaya            | score=0.9062
Kurosel            | score=1.0402
Yamera             | score=0.9619
Nakakam            | score=1.0399
Elicra             | score=0.9889
Surara             | score=1.0217
Nishimi            | score=1.0060
Fushiry            | score=1.0067
Roct               | score=0.9114
Kiltlea            | score=0.8647
Chimo              | score=0.9633
Cait               | score=0.9384
Satsuch            | score=0.9197
Meiyo              | score=0.8437
Ogahara            | score=1.0400
Koling             | score=0.9618
Tevelli            | score=1.0076
Fukaho             | score=1.0219
Bannna             | score=0.8520
Yachiya            | score=0.8541
Mairube            | score=1.0076
Holra              | score=0.9637
Azkatsu            | score=0.9737
Pure               | score=0.9714
Barlynt            | score=0.9207
Fevasra            | score=1.0077
Hiokono            | score=1.0075
Sataka             | score=1.0214
Tialia             | score=0.9289
Shidi              | score=0.9634
Bantihl            | score=0.9207
Fimik              | score=0.9966
Sachihi            | score=1.0071
Zelecto            | score=1.0076
Totsee             | score=0.9560
Anger              | score=0.9633
Uisaka             | score=0.9611
Oonako             | score=0.9617
Tsukiha            | score=1.0066
İnaet              | score=0.9560
Laina              | score=0.9635
Detter             | score=0.9618
Yungi              | score=0.9307
Harahak            | score=1.0401
Littire            | score=1.0077
Tokika             | score=1.0218
Larvil             | score=0.9620
Arishit            | score=1.0065
Oous               | score=0.8784
